Polarities,Subjectivities,Coments
0.3886904761904762,0.6202380952380953,"Loved my stay at the Four Seasons Downtown. It's one of the better luxury hotels I've stayed in due to little details that made the stay better (electric mirror in the bathroom, slippers, etc). It's super close to the 9/11 Memorial as well. The steakhouse was excellent as well."
0.13736842105263156,0.5028947368421052,"Stayed for two nights. A few minutes walk from the WTC and Wall Street. A relatively smaller hotel comparing to some other Four Seasons. As with other Four Seasons service from staff are excellent. The overall look and feel is modern design. Our room is of decent size and has the Oculus view.  It is still spacious after we put 2 luggage in it. The bath room occupies a big part of the room, so the bath room is really spacious, and bright. Temperature control is easy. Storage space is abundance. The only complaint I have is with the bed, it is too soft for me and there is a depression in the center of the mattress.We had our breakfast in the lobby restaurant, the food was not particularly outstanding. And there is only one restaurant in the hotel. If you have activity in the area it is still a very good choice."
0.5077777777777778,0.775,"We stayed for 4 days in December 2019.  The rooms are modern, clean, very nice and spacious, and the service was excellent.  We got great recommendations from the front desk for nearby restaurants.  Absolutely no complaints."
0.2928571428571428,0.5892857142857143,"Such warm, friendly, attentive service from everyone we encountered. Great food, amenities and rooms -- can't recommend highly enough. They were so accommodating both to us and the other guests (including the bride & groom) of the wedding we were attending. "
0.19672348484848484,0.6193722943722942,"Unfortunately- I decided to celebrate my 50th birthday at this New York location, but it did not turn out how one would expect of a Four Seasons hotel! I mentioned in a previous comment that the quality of the hotel and the attention to service were not up to par with Four Seasons. The only detail I found impressive was a bottle of champagne chilled in our room upon arrival with a tray of cakes and “Happy Birthday” written on the plate... I immediately thanked the concierge with a tip!! Months late, I meet with a friend who I have not seen since before my birthday. He asks me how I liked the champagne and card he sent to my hotel room on my birthday to this New York hotel!! I was shocked and speechless! The hotel did not even give me the card with his gift and they did not leave their own complimentary champagne, they simply upgraded my gift at my friend’s expense and set it up as if the gift was complimentary from the hotel!! How could the staff be this negligent?? This is how Four Seasons in New York ripped off myself and my friend by having him pay for the champagne service, then taking my tip on top. Even worse, I did not thank my friend for the wonderful gift he sent on my 50th birthday which caused unexplained tension.. meanwhile the Four Seasons is pinching a penny. Bravo! Thanks for nothing!"
0.28795454545454546,0.743939393939394,"This property was beautiful. However the view of another building out of our window stoped us from seeing much of downtown. We ordered room service and it was delicious, the blond girl who brought us our food was very kind. Despite the terrible view, What blew me away was a front desk crew member, Sierra. She was so attentive during my stay, learned my kids name, became their friend, spoke to us anytime we were in the lobby. My girls were telling her how excited they were to go see the frozen show and she placed little frozen treats and frozen coloring books in our room for them while we were at the pool. She definitely made their first trip to the city memorable."
0.6,0.76,"Comfortable room, superb bathroom appointments and the steam and pool to relax. Kutura on reception was ever so helpful .. thank you. This hotel provides a calm within the energetic city. Great location."
0.36286796536796534,0.5851948051948052,"Great stay! Very friendly team with a Four Seasons attitude instead of the typical ""New York"" attitude. Provided special attention for my daughter during our stay. The stay was a relaxing and needed break."
0.4727575757575758,0.7275252525252525,"My wife and I had an incredible stay at Four Seasons New York Downtown Hotel. The style, size, and presentation of the hotel was flawless.The location was superb, very easy to get around town and safe streets when coming home late at night.What really made our stay go from pleasant and comfortable to amazing was the interactions we had with all of the staff. From before arrival organising and even amending our airport transfer due to flight delays was pleasant and the town car organised by the hotel was impeccable. Every interaction with concierge and front desk was wonderful and the housekeeping staff are a treasure!We will definitely be returning and recommending this hotel to others!"
-0.20625000000000002,0.5687500000000001,"Small but well appointed, door/bell agents were fantastic, bar and front desk staff were not. All the service you expect from housekeeping was on point. However very disappointed I should have stayed uptown but it was sold out. Until next time Four Seasons you still have my heart. "
0.4446969696969697,0.6955710955710956,"We stayed at the Four Seasons Hotel in downtown New York for five nights over New Year and had a wonderful stay. The rooms are really spacious, stylish and luxurious and the spa facilities were great (although I would have loved a Jacuzzi!). The location is perfect, with easy access to the subway and in walking distance of lots of key sights. The staff were lovely and very helpful. We'd definitely stay again. "
0.012499999999999997,0.8,If your looking for a dream getaway. Then stay at the Four Seasons Downtown. The service was unbelievable and I don't believe there is another hotel out there that is nice . My only complaint was that I had to checkout. 
0.10661998132586367,0.5413071895424837,"The hotel room was large and spacious, the service at the front desk and the other staff was very professional. The rooms have all the amenities you'd expect, and the bed was comfortable. the room was also impeccably clean. Turn down service was unobtrusive and efficient.  So why only 4 stars? First the restaurant/Bar. I had two breakfasts there and an afternoon snack at the bar. Both breakfasts were just OK, with eggs that were saltless and pretty tasteless and toast that was the same. Nothing special. And the coffee was something i would expect from a diner, not from an upscale restaurant: weak and reheated, The bar service was not slow. It was glacial. I waited to ask for a coffee, I waited for a coffee. And I waited for a long time to be able to order an overpriced grilled cheese sandwich...and I waited to pay the bill. Again, not a Four Seasons experience."
